group	gene	n_cells	fraction_detected	mean_log1p_CP10k
MG_LGS2	NFYB	1101	0.04632152588555858	0.040833036065793714
MG_LGS2	NFYC	1101	0.11807447774750227	0.12334705676225542
MG_LGS2	SP1	1101	0.10717529518619437	0.10492615585178593
MG_LGS2	SP3	1101	0.1989100817438692	0.20175899817373125
MG_LGS2	MEF2A	1101	0.5631244323342416	0.8527886169041389
MG_LGS2	MEF2B	1101	0.03451407811080836	0.033187689588764224
MG_LGS2	MEF2D	1101	0.23796548592188918	0.2499973695024129
MG_LGS2	GABPA	1101	0.14532243415077203	0.15814167706576182
MG_LGS2	IRF1	1101	0.05086285195277021	0.053021175170306904
MG_LGS2	IRF2	1101	0.13533151680290645	0.13891775158662134
MG_LGS2	REST	1101	0.10717529518619437	0.12276391358263962
MG_LGS2	YY1	1101	0.15622161671207993	0.16592981157777298
MG_LGS3	SOX9	741	0.19298245614035087	0.22008956221864473
MG_LGS3	SOX10	741	0.008097165991902834	0.006502437447639045
MG_LGS3	NFIA	741	0.8367071524966262	1.5491573397399974
MG_LGS3	NFIB	741	0.8947368421052632	1.785433060428477
MG_LGS3	NFIC	741	0.3508771929824561	0.3712914915389292
MG_LGS3	NFIX	741	0.1862348178137652	0.19441959238306117
MG_LGS3	LHX2	741	0.3468286099865047	0.39381733977942374
MG_LGS3	RFX1	741	0.21322537112010798	0.1901603934078042
MG_LGS3	RFX2	741	0.145748987854251	0.139386850131562
MG_LGS3	RFX3	741	0.7989203778677463	1.4471894716134792
MG_LGS3	FOS	741	0.47368421052631576	0.6742500542384945
MG_LGS3	FOSB	741	0.008097165991902834	0.007485017030420751
MG_LGS3	JUN	741	0.3562753036437247	0.42226425222516273
MG_LGS3	JUNB	741	0.4966261808367072	0.7500735123975347
MG_LGS3	JUND	741	0.18488529014844804	0.1914793150705249
MG_LGS3	CTCF	741	0.14304993252361672	0.13840855098961327
MG_LGS3	RORA	741	0.9932523616734144	3.0141402176639875
MG_LGS3	NFIL3	741	0.15654520917678813	0.1793726445734475
MG_LGS3	DBP	741	0.15114709851551958	0.13955749043818572
MG_LGS3	CRX	741	0.5182186234817814	0.6748490147621632
MG_LGS3	OTX2	741	0.5006747638326585	0.6636100847928307
MG_LGS3	PAX6	741	0.44804318488529016	0.5559790677644942
MG_LGS3	NKX6-1	741	0.0	0.0
MG_LGS3	NOTO	741	0.0	0.0
MG_LGS3	VSX1	741	0.02834008097165992	0.024590813431376212
MG_LGS3	MITF	741	0.058029689608636977	0.06132134044032286
MG_LGS3	TFEB	741	0.05263157894736842	0.046413614328581584
MG_LGS3	NRF1	741	0.5290148448043185	0.6499228370755376
MG_LGS3	NFYA	741	0.05668016194331984	0.05313543725273539
MG_LGS3	NFYB	741	0.10121457489878542	0.0858407301719096
MG_LGS3	NFYC	741	0.16734143049932523	0.17632285189152158
MG_LGS3	SP1	741	0.20242914979757085	0.20322857297716132
MG_LGS3	SP3	741	0.33738191632928477	0.36005209646465175
MG_LGS3	MEF2A	741	0.611336032388664	0.8569617609498767
MG_LGS3	MEF2B	741	0.03643724696356275	0.029665753483395674
MG_LGS3	MEF2D	741	0.2834008097165992	0.27518325329875
MG_LGS3	GABPA	741	0.1767881241565452	0.17277132176105792
MG_LGS3	IRF1	741	0.02564102564102564	0.021196005135719027
MG_LGS3	IRF2	741	0.18218623481781376	0.1728856305796304
MG_LGS3	REST	741	0.203778677462888	0.20701757861175704
MG_LGS3	YY1	741	0.2631578947368421	0.2670058566574344
MG_LVG1	SOX9	713	0.46984572230014027	0.5958253519989242
MG_LVG1	SOX10	713	0.008415147265077139	0.0070771917896722564
MG_LVG1	NFIA	713	0.9621318373071529	2.098507530643857
MG_LVG1	NFIB	713	0.9537166900420757	2.1139613373163395
MG_LVG1	NFIC	713	0.31136044880785413	0.3365031603252699
MG_LVG1	NFIX	713	0.3071528751753156	0.34269750812404287
MG_LVG1	LHX2	713	0.5161290322580645	0.6378592104921804
MG_LVG1	RFX1	713	0.10659186535764376	0.10600236048319996
MG_LVG1	RFX2	713	0.12622720897615708	0.1421480072520642
MG_LVG1	RFX3	713	0.7573632538569425	1.1947414417136126
MG_LVG1	FOS	713	0.3127629733520337	0.49990697009416624
MG_LVG1	FOSB	713	0.005610098176718092	0.003943993726799706
MG_LVG1	JUN	713	0.5638148667601683	0.7915761307291824
MG_LVG1	JUNB	713	0.2496493688639551	0.40298845198955596
MG_LVG1	JUND	713	0.19074333800841514	0.19489704419533513
MG_LVG1	CTCF	713	0.12342215988779803	0.12511583965959608
MG_LVG1	RORA	713	0.9943899018232819	2.9841305821939907
MG_LVG1	NFIL3	713	0.06030855539971949	0.059763622657224215
MG_LVG1	DBP	713	0.37868162692847124	0.4314204813475593
MG_LVG1	CRX	713	0.20476858345021037	0.23746829625146854
MG_LVG1	OTX2	713	0.14165497896213183	0.1598549580292253
MG_LVG1	PAX6	713	0.6283309957924264	0.8813634155067142
MG_LVG1	NKX6-1	713	0.0	0.0
MG_LVG1	NOTO	713	0.0	0.0
MG_LVG1	VSX1	713	0.023842917251051893	0.022719524027395206
MG_LVG1	MITF	713	0.10518934081346423	0.13353176701511385
MG_LVG1	TFEB	713	0.09817671809256662	0.0999043657493899
MG_LVG1	NRF1	713	0.423562412342216	0.5204749595164597
MG_LVG1	NFYA	713	0.07152875175315568	0.07585309205958467
MG_LVG1	NFYB	713	0.1150070126227209	0.10761026476285054
